index,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,day,month,year,Revenue
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159000000,19456,10000,Free,0.0,Everyone,Art & Design,2018-01-07,1.0.0,4.0,7,1,2018,0.0
1,Coloring book moana,ART_AND_DESIGN,3.9,967000000,14336,500000,Free,0.0,Everyone,Art & Design;Pretend Play,2018-01-15,2.0.0,4.0,15,1,2018,0.0
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510000000,8908,5000000,Free,0.0,Everyone,Art & Design,2018-08-01,1.2.4,4.0,1,8,2018,0.0
3,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644000000,25600,50000000,Free,0.0,Teen,Art & Design,2018-06-08,Varies with device,4.2,8,6,2018,0.0
4,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967000000,2867,100000,Free,0.0,Everyone,Art & Design;Creativity,2018-06-20,1.1,4.4,20,6,2018,0.0
5,Paper flowers instructions,ART_AND_DESIGN,4.4,167000000,5734,50000,Free,0.0,Everyone,Art & Design,2017-03-26,1.0,2.3,26,3,2017,0.0
6,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178000000,19456,50000,Free,0.0,Everyone,Art & Design,2018-04-26,1.1,4.0,26,4,2018,0.0
7,Infinite Painter,ART_AND_DESIGN,4.1,36815000000,29696,1000000,Free,0.0,Everyone,Art & Design,2018-06-14,6.1.61.1,4.2,14,6,2018,0.0
8,Garden Coloring Book,ART_AND_DESIGN,4.4,13791000000,33792,1000000,Free,0.0,Everyone,Art & Design,2017-09-20,2.9.2,3.0,20,9,2017,0.0
9,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121000000,3174,10000,Free,0.0,Everyone,Art & Design;Creativity,2018-07-03,2.8,4.0,3,7,2018,0.0
10,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880000000,28672,1000000,Free,0.0,Everyone,Art & Design,2017-10-27,1.0.4,4.1,27,10,2017,0.0
11,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788000000,12288,1000000,Free,0.0,Everyone,Art & Design,2018-07-31,1.0.15,4.0,31,7,2018,0.0
12,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829000000,20480,10000000,Free,0.0,Teen,Art & Design,2018-04-02,3.8,4.1,2,4,2018,0.0
13,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326000000,21504,100000,Free,0.0,Everyone,Art & Design,2018-06-26,1.0.4,4.4,26,6,2018,0.0
14,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518000000,37888,100000,Free,0.0,Everyone,Art & Design,2018-08-03,1.2.3,2.3,3,8,2018,0.0
15,Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55000000,2764,5000,Free,0.0,Everyone,Art & Design,2018-06-06,,4.2,6,6,2018,0.0
16,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632000000,5632,500000,Free,0.0,Everyone,Art & Design,2018-07-31,3.1,4.1,31,7,2018,0.0
17,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27000000,17408,10000,Free,0.0,Everyone,Art & Design,2017-11-07,1.0,2.3,7,11,2017,0.0
18,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216000000,39936,5000000,Free,0.0,Everyone,Art & Design,2018-08-03,2.2.5,4.0,3,8,2018,0.0
19,ibis Paint X,ART_AND_DESIGN,4.6,224399000000,31744,10000000,Free,0.0,Everyone,Art & Design,2018-07-30,5.5.4,4.1,30,7,2018,0.0
20,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450000000,14336,100000,Free,0.0,Everyone,Art & Design,2018-04-20,4.0,4.1,20,4,2018,0.0
21,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654000000,12288,100000,Free,0.0,Everyone,Art & Design,2018-03-20,1.1,4.0,20,3,2018,0.0
22,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699000000,4300,500000,Free,0.0,Everyone 10+,Art & Design,2018-07-12,2.2.6.2,4.0,12,7,2018,0.0
23,Mcqueen Coloring pages,ART_AND_DESIGN,,61000000,7168,100000,Free,0.0,Everyone,Art & Design;Action & Adventure,2018-03-07,1.0.0,4.1,7,3,2018,0.0
24,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118000000,23552,50000,Free,0.0,Everyone,Art & Design,2018-07-07,1.1.3,4.1,7,7,2018,0.0
25,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192000000,6144,10000,Free,0.0,Everyone,Art & Design,2018-04-25,1.5,3.0,25,4,2018,0.0
26,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260000000,25600,500000,Free,0.0,Everyone,Art & Design;Creativity,2017-10-11,1.0.8,4.0,11,10,2017,0.0
27,Animated Photo Editor,ART_AND_DESIGN,4.1,203000000,6246,100000,Free,0.0,Everyone,Art & Design,2018-03-21,1.03,4.0,21,3,2018,0.0
28,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136000000,4710,10000,Free,0.0,Everyone,Art & Design,2018-07-12,6.0,2.3,12,7,2018,0.0
29,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223000000,4300,100000,Free,0.0,Everyone,Art & Design,2017-08-22,1.0,2.3,22,8,2017,0.0
30,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120000000,9420,100000,Free,0.0,Everyone,Art & Design,2018-07-12,6.7.12.2018,4.0,12,7,2018,0.0
